fecha,temp_min,temp_max,temp_tarde,temp_noche,temp_vespertina,temp_manana,humedad_tarde,precipitacion_total,presion_tarde,vel_viento_max,dir_viento_max,nubosidad_tarde,latitude,longitude
2014-02-07,27.4,39.5,34.1,29.8,39.1,27.9,57,1.8,1010,4.63,290,0,-30.0346,-51.2177
2014-02-08,20.8,32.9,32.9,31.9,20.8,28.6,65,9,1012,11.83,80,40,-30.0346,-51.2177
2014-02-09,23.8,37.5,31.6,24.9,35,24.1,57,0,1011,6.17,189,0,-30.0346,-51.2177
2014-02-10,23.1,34.9,31.2,25.8,33,24.8,67,11.68,1014,4.12,110,20,-30.0346,-51.2177
2014-02-11,22.7,36.7,31.5,23.1,36.3,23.3,59,0.76,1012,4.63,110,0,-30.0346,-51.2177
2014-02-12,24,34.8,32.3,27.9,29.8,26.8,61,5.32,1008,8.75,170,0,-30.0346,-51.2177
2014-02-13,21.1,26.8,25.5,23,23.8,24.8,66,19.77,1010,8.2,160,75,-30.0346,-51.2177
2014-02-14,19.2,26.5,22.8,20.1,25.1,20.2,78,10.05,1019,8.75,150,90,-30.0346,-51.2177
2014-02-15,19.8,26.7,25.9,21.2,25.3,20.4,45,0,1024,10.8,110,40,-30.0346,-51.2177
2014-02-16,19.4,27.8,25.8,21.2,26.8,20.8,54,0,1022,10.29,100,75,-30.0346,-51.2177
2014-02-17,18.8,28.8,27.8,21.8,26.8,18.8,55,0,1020,11.83,110,20,-30.0346,-51.2177
2014-02-18,19.8,29.8,27.8,21.8,26.8,19.8,58,0,1018,12.35,90,20,-30.0346,-51.2177
2014-02-19,19.8,30.8,29.8,22.8,28.8,19.8,49,0,1014,7.2,100,75,-30.0346,-51.2177
2014-02-20,20.8,26.8,25.8,22.8,24.8,20.8,65,3.9,1012,5.14,260,0,-30.0346,-51.2177
2014-02-21,21.8,31.8,30.8,22.8,28.8,21.8,59,1.32,1011,6.17,120,20,-30.0346,-51.2177
2014-02-22,21.8,31.2,30.8,24.8,25.8,21.8,59,7,1012,8.75,100,40,-30.0346,-51.2177
2014-02-23,21.8,28.8,28.8,23.8,23.8,21.8,66,19.31,1009,5.66,230,75,-30.0346,-51.2177
2014-02-24,20.8,31.8,29.8,23.8,28.8,20.8,66,2.2,1011,5.66,270,75,-30.0346,-51.2177
2014-02-25,22.2,27.8,27.8,23.8,24.7,22.8,66,9.15,1014,8.23,150,75,-30.0346,-51.2177
2014-02-26,21.8,23.8,23.8,23.8,21.8,21.8,89,19.25,1012,5.14,120,90,-30.0346,-51.2177
2014-02-27,18.8,21.8,19.8,21.8,21.8,18.8,88,35.67,1012,8.75,180,90,-30.0346,-51.2177
2014-02-28,17.3,25.8,22.8,17.8,21.8,17.8,73,1.78,1012,7.72,290,75,-30.0346,-51.2177
2014-03-01,17.2,26.8,22.8,20.8,22.8,17.8,69,0.86,1012,6.69,160,40,-30.0346,-51.2177
2014-03-02,17.8,26.8,25.8,21.8,24.8,17.8,54,0.17,1015,5.66,130,40,-30.0346,-51.2177
2014-03-03,19.5,27.8,27.8,21.8,23.8,19.8,62,0.3,1016,8.75,100,20,-30.0346,-51.2177
2014-03-04,20.8,28.8,24.8,22.8,28.8,20.8,74,10.67,1014,6.69,80,40,-30.0346,-51.2177
2014-03-05,21.8,27.8,25.8,22.8,26.8,23.8,70,26.37,1013,5.14,260,75,-30.0346,-51.2177
2014-03-06,19.6,28.8,26.8,22.8,27.8,19.8,65,0,1013,5.66,290,75,-30.0346,-51.2177
2014-03-07,19.8,27.8,25.8,22.8,25.8,19.8,70,1.02,1014,5.66,180,40,-30.0346,-51.2177
2014-03-08,19.9,24.8,21.8,20.8,23.8,20.8,88,1.24,1013,6.69,140,75,-30.0346,-51.2177
2014-03-09,17.8,28.8,25.8,20.8,26.8,17.8,65,0.88,1011,5.66,100,40,-30.0346,-51.2177
2014-03-10,19.8,27.8,23.2,21.8,26.8,19.8,83,1.8,1010,9.26,270,90,-30.0346,-51.2177
2014-03-11,20.8,26.8,24.8,22.8,23.8,20.8,73,1.8,1013,5.66,170,75,-30.0346,-51.2177
2014-03-12,18.8,26.8,25.8,21.8,23.8,18.8,54,0,1019,7.72,130,75,-30.0346,-51.2177
2014-03-13,19.8,28.8,27.8,20.8,25.8,20.8,66,0.22,1018,7.72,110,40,-30.0346,-51.2177
2014-03-14,18.8,30.8,27.8,21.8,27.8,18.8,58,0,1012,7.2,100,0,-30.0346,-51.2177
2014-03-15,23.4,26.8,24.8,23.8,25.8,26.8,83,1.52,1008,8.75,260,75,-30.0346,-51.2177
2014-03-16,20.3,30.9,29.5,22.8,27.5,21.8,66,0.9,1010,7.72,90,20,-30.0346,-51.2177
2014-03-17,21.3,26.8,22,25.8,26.5,22.4,91,19.8,1011,5.14,270,75,-30.0346,-51.2177
2014-03-18,20.8,24.1,23.9,24.1,22,23.6,80,23.26,1016,5.66,150,75,-30.0346,-51.2177
2014-03-19,20.6,23.6,23.2,20.8,23,20.9,90,18.06,1011,4.12,110,90,-30.0346,-51.2177
2014-03-20,18.8,25.8,25.4,21.1,24.8,18.8,69,1.3,1007,5.66,290,75,-30.0346,-51.2177
2014-03-21,18.4,24.4,23.1,22.7,23.9,21.4,83,2.45,1008,8.23,290,75,-30.0346,-51.2177
2014-03-22,12.4,20.1,17.4,18.1,18.6,17.5,61,2.29,1022,5.66,220,75,-30.0346,-51.2177
2014-03-23,10.7,23.4,20.4,12.4,21.6,10.8,54,0,1022,4.63,130,20,-30.0346,-51.2177
2014-03-24,12.4,26.8,24.5,15.7,24.1,12.7,55,0,1019,5.66,110,0,-30.0346,-51.2177
2014-03-25,16.1,28.3,27,19.3,24.8,16.1,54,0,1021,7.2,100,0,-30.0346,-51.2177
2014-03-26,17.7,28.8,26.9,20.2,23.5,17.7,54,0,1023,9.26,100,20,-30.0346,-51.2177
2014-03-27,20.4,28.3,27,21,25.5,20.4,64,0.12,1019,6.69,100,40,-30.0346,-51.2177
2014-03-28,18.8,31.4,29.3,21.1,29.1,19.1,51,0,1015,5.14,100,0,-30.0346,-51.2177
2014-03-29,20.7,32.5,29.8,22.7,28.6,21.2,52,0,1012,6.17,340,0,-30.0346,-51.2177
2014-03-30,21.7,30.4,30.4,22.1,27.3,21.7,55,4.71,1009,5.66,240,75,-30.0346,-51.2177
2014-03-31,21.6,25.4,25.4,23.5,22.5,22.2,80,16.87,1014,5.65,164,75,-30.0346,-51.2177
2014-04-01,21.4,26.4,25.1,21.4,22.7,22.1,83,2.28,1020,8.23,180,75,-30.0346,-51.2177
2014-04-02,20.7,27.4,26.4,22.6,24.3,20.7,66,2.82,1021,7.2,120,75,-30.0346,-51.2177
2014-04-03,19.9,28.2,27.3,22.1,24.7,19.9,58,0,1020,7.72,100,75,-30.0346,-51.2177
2014-04-04,17.7,29.8,27.8,21.1,26.6,18.1,51,0,1020,5.66,100,0,-30.0346,-51.2177
2014-04-05,16.7,30.8,28.5,20.7,28.1,16.7,44,0,1017,4.12,300,0,-30.0346,-51.2177
2014-04-06,19.7,31.4,29.4,21.4,28.1,19.7,58,0,1015,5.14,120,0,-30.0346,-51.2177
2014-04-07,22.1,29.4,27,22.1,25.4,22.2,72,0,1013,6.17,110,20,-30.0346,-51.2177
2014-04-08,21.3,30.8,29.6,22.9,26,21.8,60,21.16,1009,4.63,100,0,-30.0346,-51.2177
2014-04-09,17.8,27.5,26.1,22.4,25.8,20.6,76,3.18,1010,5.14,270,75,-30.0346,-51.2177
2014-04-10,15.7,27.4,25.4,18.8,23.8,15.7,61,0,1015,7.2,100,40,-30.0346,-51.2177
2014-04-11,20.5,26.3,26.3,21.3,22.2,21.1,72,34.88,1012,6.17,100,75,-30.0346,-51.2177
2014-04-12,18.9,24.4,22.9,20.5,22.7,21.3,72,27.67,1009,12.35,280,75,-30.0346,-51.2177
2014-04-13,12,19.3,16.4,19.3,17,12.4,51,0,1019,9.77,280,0,-30.0346,-51.2177
2014-04-14,12.8,21.1,19.4,13.9,18.1,12.8,57,0,1023,3.6,270,75,-30.0346,-51.2177
2014-04-15,11.8,23.4,21.4,13.8,20.8,12,58,0,1020,3.6,70,20,-30.0346,-51.2177
2014-04-16,13.1,27.3,24.6,16.1,24.7,13.1,56,0,1017,4.12,110,0,-30.0346,-51.2177
2014-04-17,15.7,28.4,27.3,19.3,26.1,15.7,57,0.24,1015,4.12,270,0,-30.0346,-51.2177
2014-04-18,20.2,26.6,24.6,23.1,24.5,20.2,71,3.11,1011,4.12,280,75,-30.0346,-51.2177
2014-04-19,19.4,22.4,21.6,21.1,21.1,20.4,95,4.22,1017,5.14,130,90,-30.0346,-51.2177
2014-04-20,15.7,23.8,22.8,20.1,20.6,15.8,68,0.41,1019,4.63,110,75,-30.0346,-51.2177
2014-04-21,13.1,26.8,24.4,15.5,23.4,13.8,58,0.29,1016,3.09,280,40,-30.0346,-51.2177
2014-04-22,16.8,21.3,21.1,19.3,18.6,18.4,63,0,1019,5.66,170,75,-30.0346,-51.2177
2014-04-23,12.4,21.4,20.8,16.6,19.7,12.4,62,0,1020,4.12,160,75,-30.0346,-51.2177
2014-04-24,12.7,20.8,19.8,17.1,17.8,16.1,64,0,1021,4.63,170,75,-30.0346,-51.2177
2014-04-25,11.7,20.4,18.5,12.5,16.7,12.6,65,0,1021,4.63,140,75,-30.0346,-51.2177
2014-04-26,10.2,22.2,19.7,11.4,18.2,10.2,67,0.1,1021,7.2,100,75,-30.0346,-51.2177
2014-04-27,12.5,23.4,22.8,13.7,19.4,12.5,51,0,1023,10.29,100,40,-30.0346,-51.2177
2014-04-28,11.8,25.4,23.3,14.7,21.1,13.4,49,0,1023,4.12,90,0,-30.0346,-51.2177
2014-04-29,14.7,25.8,23.8,16.1,22.8,15.5,50,0,1018,4.12,330,0,-30.0346,-51.2177
2014-04-30,17.5,21.8,20.8,18.8,19.8,17.8,73,11.66,1010,5.14,110,75,-30.0346,-51.2177
2014-05-01,15.8,22.8,21.8,18.8,17.9,17.8,64,11.07,1005,11.83,290,75,-30.0346,-51.2177
2014-05-02,12.7,22.2,20.4,15.9,20.4,15.5,64,0,1018,6.69,280,40,-30.0346,-51.2177
2014-05-03,10.6,25.8,22.6,13.7,21.6,11.8,62,0,1019,2.06,50,0,-30.0346,-51.2177
2014-05-04,16.7,20.1,18.4,16.7,18.4,18.6,96,23.68,1017,7.72,20,90,-30.0346,-51.2177
2014-05-05,16.8,24.5,21.4,18.2,21.1,17.9,85,0.9,1016,4.63,110,75,-30.0346,-51.2177
2014-05-06,18.4,25.1,22.2,19.3,23.6,18.4,85,6.09,1015,3.09,80,75,-30.0346,-51.2177
2014-05-07,17.8,24,21.9,18.7,21.4,18.1,83,0,1019,4.12,120,75,-30.0346,-51.2177
2014-05-08,17.1,21.4,21.4,18.8,18.4,17.8,80,5.19,1016,3.6,160,75,-30.0346,-51.2177
2014-05-09,14.3,21.8,19.3,16.7,18.8,14.3,69,1.57,1018,3.6,240,75,-30.0346,-51.2177
2014-05-10,14.7,21.4,21.2,16.8,17.6,14.8,58,1.02,1023,8.8,110,40,-30.0346,-51.2177
2014-05-11,12.1,24,21.8,14.4,19.4,12.1,52,0,1023,4.63,90,0,-30.0346,-51.2177
2014-05-12,10.7,24.8,23.4,14.6,21.3,10.7,55,0,1018,4.63,340,0,-30.0346,-51.2177
2014-05-13,16.7,22.8,20.4,17.1,20.9,17.1,80,3.22,1017,6.17,200,75,-30.0346,-51.2177
2014-05-14,13.7,23.8,22.1,17.5,20.4,13.7,72,0.2,1018,4.63,120,20,-30.0346,-51.2177
2014-05-15,14.5,24.8,20.6,16.1,18.9,15.1,80,2.35,1016,5.65,191,75,-30.0346,-51.2177
2014-05-16,13.7,19.8,18.4,17.1,17.5,16.4,82,0.3,1019,3.6,180,75,-30.0346,-51.2177
2014-05-17,10.8,21.1,17.7,13.7,18.9,10.8,84,0.25,1018,2.57,310,40,-30.0346,-51.2177
2014-05-18,14.5,18,16.8,14.7,16.9,14.5,93,0,1019,3.6,160,90,-30.0346,-51.2177
2014-05-19,9.2,20.4,18.4,14.5,16.1,10.7,68,0,1020,3.09,110,40,-30.0346,-51.2177
2014-05-20,9.7,20.3,18.5,13,17.1,9.7,70,0,1019,4.63,130,40,-30.0346,-51.2177
2014-05-21,15.2,17.8,17.8,16.2,16.8,15.4,88,30.83,1010,5.66,80,75,-30.0346,-51.2177
2014-05-22,12.8,18.8,18.8,16.8,18.8,16.8,94,0.6,1007,6.69,230,90,-30.0346,-51.2177
2014-05-23,10.8,13.8,13.8,11.8,12.8,11.8,67,0,1024,4.63,230,75,-30.0346,-51.2177
2014-05-24,8.8,13.7,12.8,10.8,11.3,8.8,72,0,1024,4.63,274,75,-30.0346,-51.2177
2014-05-25,6.8,14.5,14.4,8.1,13,7.3,68,0,1020,2.57,150,75,-30.0346,-51.2177
2014-05-26,11.5,16.4,14.4,12.3,14.9,14.1,80,6.84,1017,3.6,170,90,-30.0346,-51.2177
2014-05-27,8.5,17.3,12.7,11.3,14,8.5,83,0,1024,4.63,300,40,-30.0346,-51.2177
2014-05-28,6.8,17.8,14.4,9.5,14.8,7.9,77,0,1024,2.57,280,20,-30.0346,-51.2177
2014-05-29,6.3,21.3,17.4,9.8,17.5,6.8,68,0,1022,5.66,110,0,-30.0346,-51.2177
2014-05-30,7.7,23.4,20.8,11.7,18.1,7.7,50,0,1020,4.12,100,0,-30.0346,-51.2177
2014-05-31,14.4,17.3,15.6,16.3,16.2,14.4,94,22.43,1015,4.12,90,90,-30.0346,-51.2177
2014-06-01,12.6,18.4,17.2,15.4,14.8,14.7,83,13.88,1011,9.77,280,75,-30.0346,-51.2177
2014-06-02,9.5,17.5,15.4,12.4,14.8,9.7,65,0.6,1017,7.2,270,0,-30.0346,-51.2177
2014-06-03,6.4,18.9,14.8,8.7,14.2,6.4,70,0,1018,4.12,280,0,-30.0346,-51.2177
2014-06-04,4.8,22.8,18.8,10,17.1,5.8,49,2.79,1013,5.14,100,0,-30.0346,-51.2177
2014-06-05,13.4,16.6,15.1,14,15.5,13.4,96,14.89,1007,4.63,160,90,-30.0346,-51.2177
2014-06-06,14.5,17.1,16.4,15.4,16.1,14.5,90,2.86,1011,5.14,140,90,-30.0346,-51.2177
2014-06-07,16.1,23.4,22.4,16.1,20.5,16.6,78,7.06,1005,8.75,110,40,-30.0346,-51.2177
2014-06-08,11.1,15.8,14.7,15.8,13.6,15.5,82,2.67,1012,5.14,222,75,-30.0346,-51.2177
2014-06-09,7.6,16.8,10.8,9.9,12.8,7.9,100,0,1026,3.09,290,75,-30.0346,-51.2177
2014-06-10,7.6,16.8,11.8,7.8,15.8,7.8,97,0,1027,3.6,90,75,-30.0346,-51.2177
2014-06-11,6.8,23.8,20.8,10.7,20.1,6.8,64,0,1021,4.63,120,0,-30.0346,-51.2177
2014-06-12,14.7,28.4,26.9,17,23.9,15.6,54,0,1016,6.17,20,0,-30.0346,-51.2177
2014-06-13,15.5,21.6,18.5,21.6,16.6,19.1,95,47.05,1019,5.66,240,90,-30.0346,-51.2177
2014-06-14,13.5,16,15.4,16,15.1,13.5,95,12.29,1025,4.63,160,90,-30.0346,-51.2177
2014-06-15,14.3,19.5,19.1,14.5,18.1,14.7,78,1.03,1023,7.72,120,75,-30.0346,-51.2177
2014-06-16,13.8,19.8,18.5,16.2,18.5,13.8,89,1.24,1021,4.63,220,75,-30.0346,-51.2177
2014-06-17,14.1,18.5,16.4,16.6,16.7,15,80,2.6,1023,4.12,160,75,-30.0346,-51.2177
2014-06-18,8.5,15.4,14.4,13.9,12.5,12.6,63,0,1029,4.63,210,75,-30.0346,-51.2177
2014-06-19,5.1,13.4,11,8.2,10,6,69,0,1031,3.6,300,0,-30.0346,-51.2177
2014-06-20,3.9,15.1,10.8,4.7,11.1,4.7,76,0.25,1025,2.57,250,20,-30.0346,-51.2177
2014-06-21,5.5,16.6,9.1,8,13.7,5.7,97,0,1025,3.6,110,75,-30.0346,-51.2177
2014-06-22,5.4,22.3,19.4,9.3,17.4,6.3,55,0.16,1020,3.09,80,0,-30.0346,-51.2177
2014-06-23,14,19.3,16.8,14.8,17.6,14.8,94,7.75,1018,3.09,100,90,-30.0346,-51.2177
2014-06-24,14.7,22.5,20.3,15.7,18.9,14.7,81,15.43,1017,5.14,110,0,-30.0346,-51.2177
2014-06-25,16.4,21.8,20,16.4,19.4,16.4,88,16.91,1012,4.12,120,75,-30.0346,-51.2177
2014-06-26,16.4,17.6,16.8,17.2,17.6,16.4,96,8.67,1015,3.09,160,90,-30.0346,-51.2177
2014-06-27,16.8,19.8,19.8,17.2,17.8,17.1,83,5.83,1018,6.17,130,90,-30.0346,-51.2177
2014-06-28,16.8,17.8,17.8,17.8,17.8,16.8,94,72.13,1019,8.23,120,90,-30.0346,-51.2177
2014-06-29,14.8,19.8,19.8,17.8,14.8,16.8,60,8.11,1008,8.23,300,75,-30.0346,-51.2177
2014-06-30,13.5,14.8,14.8,13.8,13.8,13.8,88,19.91,1011,11.32,290,90,-30.0346,-51.2177
2014-07-01,10.8,16.8,14.8,13.8,13.8,13.8,82,0.53,1018,7.72,280,90,-30.0346,-51.2177
2014-07-02,6.8,17.8,13.3,10.8,15.8,6.8,97,0,1018,3.6,110,40,-30.0346,-51.2177
2014-07-03,13.8,20.8,17.8,13.8,18.8,14.8,94,5.2,1017,2.57,40,75,-30.0346,-51.2177
2014-07-04,17.5,21.8,20.8,18.8,19.8,17.8,83,5.78,1017,10.29,250,75,-30.0346,-51.2177
2014-07-05,16.6,26.8,22.8,19.8,24.8,16.8,78,0,1015,5.66,100,0,-30.0346,-51.2177
2014-07-06,13.8,21.8,18.8,21.8,15.8,18.8,88,6.14,1017,6.17,260,75,-30.0346,-51.2177
2014-07-07,9.8,15.8,14.3,13.8,13.8,9.8,58,0,1027,6.17,270,0,-30.0346,-51.2177
2014-07-08,6.4,17.8,14.8,8.8,14.8,6.8,67,0,1030,5.14,80,0,-30.0346,-51.2177
2014-07-09,8.8,19.8,17.8,10.8,17.8,8.8,64,0,1025,5.14,110,0,-30.0346,-51.2177
2014-07-10,14.8,18.8,17.8,15.8,16.8,15.8,77,0.34,1026,7.72,100,75,-30.0346,-51.2177
2014-07-11,13.4,20.8,19.8,14.8,17.8,14.8,68,0.13,1026,8.23,90,75,-30.0346,-51.2177
2014-07-12,12.4,21.2,19.9,13.8,17.4,12.8,68,0,1026,6.69,110,0,-30.0346,-51.2177
2014-07-13,12.9,24.8,21.8,15.8,20.8,13.8,65,0,1024,6.17,90,0,-30.0346,-51.2177
2014-07-14,12.8,25.8,23.8,15.8,21.8,12.8,47,0,1022,3.6,100,0,-30.0346,-51.2177
2014-07-15,12.8,23.8,21.8,15.8,19.8,12.8,57,0,1021,4.63,100,0,-30.0346,-51.2177
2014-07-16,13.8,25.5,23.3,15.8,22.8,13.8,62,0,1018,3.09,80,0,-30.0346,-51.2177
2014-07-17,15.3,19.4,18.4,17.2,16.8,15.6,86,14.41,1017,5.14,253,90,-30.0346,-51.2177
2014-07-18,11.4,16.8,15.1,16.4,15.1,13.6,87,12.64,1021,7.2,270,40,-30.0346,-51.2177
2014-07-19,8.8,16.8,15.1,10.8,16.2,9.7,71,0,1025,5.66,280,20,-30.0346,-51.2177
2014-07-20,7.8,19.6,15.6,10.4,16.2,7.8,74,0,1025,2.57,100,0,-30.0346,-51.2177
2014-07-21,5.7,22.5,19.5,9.5,17.4,6.1,57,0,1021,4.12,110,0,-30.0346,-51.2177
2014-07-22,7.4,27.4,22.3,11.4,21.1,9.4,46,0.25,1015,7.72,250,0,-30.0346,-51.2177
2014-07-23,16.4,18.3,16.6,17.4,17.4,17.5,99,34.85,1013,7.72,80,90,-30.0346,-51.2177
2014-07-24,10.3,17.5,12.4,16.6,11.4,14.4,90,21.77,1014,6.17,220,90,-30.0346,-51.2177
2014-07-25,6.3,11.8,10.4,9.5,9.8,8.4,65,1.78,1023,5.65,266,0,-30.0346,-51.2177
2014-07-26,5.7,14.4,12.2,6.4,12.1,5.7,67,0,1025,4.63,280,0,-30.0346,-51.2177
2014-07-27,3.7,15.3,13.4,6.7,11.7,3.7,72,0,1030,5.14,130,40,-30.0346,-51.2177
2014-07-28,5.5,17.4,15,9.8,14.4,5.5,73,0,1031,6.17,110,0,-30.0346,-51.2177
2014-07-29,10.4,22.7,20.4,11.7,19.1,10.4,60,0,1026,5.14,100,0,-30.0346,-51.2177
2014-07-30,12.2,18.5,16.4,13.7,17.2,12.5,87,1.56,1025,3.09,100,75,-30.0346,-51.2177
2014-07-31,14.1,23.2,20.6,15.1,21.3,14.3,76,0,1019,2.57,100,75,-30.0346,-51.2177
2014-08-01,13.7,22,19.5,16.8,18.6,13.9,68,12.46,1015,7.7,210,75,-30.0346,-51.2177
2014-08-02,13.9,25,23.2,15.8,22.2,14.2,82,0.3,1015,2.84,341,46,-30.0346,-51.2177
2014-08-03,16.4,30.8,29.8,16.7,28.8,18.3,43,0,1006,8.23,310,0,-30.0346,-51.2177
2014-08-04,11.8,18.8,14.8,18.8,15.8,15.8,88,15.23,1019,6.17,150,90,-30.0346,-51.2177
2014-08-05,6.8,16.8,14.8,10.8,13.8,6.8,48,0,1027,6.17,100,0,-30.0346,-51.2177
2014-08-06,5.6,24.8,20.8,9.8,21.8,5.8,40,0,1018,4.12,90,0,-30.0346,-51.2177
2014-08-07,12.8,19.8,16.8,14.8,13.8,12.8,80,5.18,1022,6.17,190,75,-30.0346,-51.2177
2014-08-08,6.5,16.4,16,12.8,12.5,7.8,47,0,1029,4.12,160,20,-30.0346,-51.2177
2014-08-09,4.5,19.8,15.4,6.5,16,4.5,65,0,1022,5.14,110,0,-30.0346,-51.2177
2014-08-10,13.4,20.6,20.6,13.4,18.4,13.4,85,7.02,1015,5.14,230,75,-30.0346,-51.2177
2014-08-11,13.8,18.8,17.8,15,16.8,13.8,83,2.42,1016,4.12,120,90,-30.0346,-51.2177
2014-08-12,12.8,14.8,14.8,14.8,13.8,13.8,82,5.61,1018,4.12,150,90,-30.0346,-51.2177
2014-08-13,5.8,14.8,11.8,11.8,11.8,9.8,44,0,1029,5.14,230,0,-30.0346,-51.2177
2014-08-14,2.7,15.8,12.8,5.8,13.8,3.8,47,0,1030,5.66,100,0,-30.0346,-51.2177
2014-08-15,4.8,19.8,15.8,8.8,16.8,4.8,55,0,1029,5.14,120,0,-30.0346,-51.2177
2014-08-16,13.6,21.8,18.8,14.8,18.8,14.8,78,6.59,1025,4.12,60,75,-30.0346,-51.2177
2014-08-17,15.2,19.8,17.8,16.8,17.8,15.8,88,0.14,1024,5.14,110,90,-30.0346,-51.2177
2014-08-18,14.8,20.8,17.8,16.8,18.8,14.8,77,0,1022,3.6,110,90,-30.0346,-51.2177
2014-08-19,13.8,24.8,17.8,14.8,22.8,13.8,82,0,1021,4.63,70,1,-30.0346,-51.2177
2014-08-20,13.8,18.4,16.4,14.8,16.4,13.8,90,0,1023,4.12,110,90,-30.0346,-51.2177
2014-08-21,13,26.8,22,14.4,23,13.4,62,0,1019,4.63,280,1,-30.0346,-51.2177
2014-08-22,10.5,28.8,24.4,13.5,23,10.5,52,0,1016,5.14,100,0,-30.0346,-51.2177
2014-08-23,14,28.4,24.4,15.5,25,14,65,0,1013,5.66,90,0,-30.0346,-51.2177
